trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.005, 'e': 1.0610824037507998}",30,20,-42.65090654697845,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 0}",1
157,False,"{'a': 0.005, 'e': 1.0557679734783543}",20,0,-116.0392826950363,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
158,False,"{'a': 0.005, 'e': 1.0504271490615595}",20,0,-143.1186120912218,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
159,False,"{'a': 0.005, 'e': 1.0450600640207481}",20,0,-176.9383716982782,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
160,False,"{'a': 0.005, 'e': 1.0396668525327664}",30,0,-250.3097949190901,"{0: 12, 1: 7, 2: 5, 3: 3, 4: 3}",0
161,False,"{'a': 0.005, 'e': 1.0342476494276207}",20,0,-97.88003993730968,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
162,False,"{'a': 0.005, 'e': 1.028802590185106}",30,4,-129.13308183625307,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 2}",1
163,False,"{'a': 0.005, 'e': 1.0233318109314204}",20,0,-74.76809388417223,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
164,False,"{'a': 0.005, 'e': 1.01783544843576}",30,0,-169.32695156982962,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
165,False,"{'a': 0.005, 'e': 1.0123136401069006}",20,0,-93.3246314545331,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
166,False,"{'a': 0.005, 'e': 1.0067665239897634}",25,8,-94.61627049873145,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 2}",1
167,False,"{'a': 0.005, 'e': 1.0011942387619623}",30,0,-216.57911582845628,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
168,False,"{'a': 0.005, 'e': 0.9955969237303375}",30,0,-103.05227763889692,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.005, 'e': 0.9899747188274732}",20,0,-150.21214965456883,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
170,False,"{'a': 0.005, 'e': 0.9843277646081997}",20,2,-17.922777855376392,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.005, 'e': 0.9786562022460779}",25,0,-197.68998874746813,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
172,False,"{'a': 0.005, 'e': 0.9729601735298714}",25,0,-128.06002894309194,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
173,False,"{'a': 0.005, 'e': 0.9672398208600018}",20,0,-85.82767119150517,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
174,False,"{'a': 0.005, 'e': 0.9614952872449878}",25,0,-200.26029575557314,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
175,False,"{'a': 0.005, 'e': 0.9557267162978703}",25,19,-1.1329497719007138,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.005, 'e': 0.9499342522326228}",30,0,-225.69270929911548,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
177,False,"{'a': 0.005, 'e': 0.9441180398605453}",20,0,-126.04409492645404,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
178,False,"{'a': 0.005, 'e': 0.9382782245866441}",25,9,-74.07455644469773,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
179,False,"{'a': 0.005, 'e': 0.9324149524059968}",20,0,-29.44900474241224,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.005, 'e': 0.9265283699001026}",25,0,-106.37779066715945,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
181,False,"{'a': 0.005, 'e': 0.9206186242332173}",20,0,-106.71287594937421,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
182,False,"{'a': 0.005, 'e': 0.9146858631486753}",20,0,-54.21703718826504,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
